id,talep_metni,birim,modul,surec_talep_tipi,oncelik
743,"Yeni bir CRM uygulaması lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
744,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
745,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
746,"2. kat toplantı salonu için ek personel ihtiyacımız var, ilan açılabilir mi?",İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
747,Dahili hattım geçen hafta beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
748,Bilgisayarıma VPN istemcisi kurulmasını istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
749,İzmir şubesi yazıcısı bağlantı hatası veriyor.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Orta
750,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Düşük
751,SGK işe giriş belgemi talep ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
752,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
753,Ali Bey için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
754,Görüşme yapılan adaylar için geri bildirim formu talep ediyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
755,İK ofisi sunucusu için yedekleme planı oluşturulmasını istiyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Yüksek
756,Ali Bey ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Orta
757,Bu dönem hedeflerimin sisteme girilmesi gerekiyor.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
758,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
759,Ali Bey'in Outlook modülüne erişim yetkisi olması gerekiyor.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
760,Hakan Bey'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
761,"Deniz Hanım'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
762,Mehmet Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
763,Outlook kullanırken sistem kilitleniyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Orta
764,Dahili hattım yarından itibaren beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
765,5 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
766,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
767,2. kat toplantı salonu'daki sabit telefon hattı çalışmıyor.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Orta
768,Emre Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
769,Vizite kağıdı talebinde bulunuyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
770,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
771,Bilgisayarıma ITSM portalı kurulmasını istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
772,"Araç periyodik bakım zamanı geldi, randevu talep ediyorum.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
773,Muhasebe birimi için ek bir monitör talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
774,Yeni işe başlayan personel için e-posta hesabı talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
775,Ali Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
776,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
777,"Yeni bir ERP sistemi lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
778,"MS Teams şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
779,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
780,"Fazla mesai ücretim bordroma yansımamış, kontrol edilebilir mi?",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
781,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
782,Ankara ofisi'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
783,Ahmet Bey için ofis koltuğu değişimi rica ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Mobilya Talebi,Düşük
784,"Sistem geneli çok yavaş çalışıyor, bu ay içinde beri.",Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
785,"Kocaeli fabrikası'daki klima çalışmıyor, çok sıcak/soğuk oluyor.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
786,Bu haftaki yemek menüsünü öğrenmek istiyorum.,İdari İşler,Catering/Yemekhane,Yemek Menü Talebi/Şikayeti,Orta
787,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
788,"Hesabım kilitlendi, şifre sıfırlama talep ediyorum.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Yüksek
789,Mehmet Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
790,Excel için güncelleme talebinde bulunuyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
791,"Lojistik binası genelinde internet erişimi yok, herkes şikayetçi.",Bilgi Teknolojileri,Ağ/Network,İnternet Bağlantı Sorunu,Yüksek
792,ERP sistemi güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
793,Sunucu kaynakları yetersiz kalıyor gibi görünüyor.,Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Orta
794,Ahmet Bey için hizmet belgesi çıkarılmasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Düşük
795,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Orta
796,Yeni başlayanlar için oryantasyon eğitimi planlanmasını istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
797,İnsan Kaynakları katı için ek bir monitör talep ediyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
798,Zeynep Hanım olarak 15 gün izin kullanmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
799,"Merve Hanım'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Orta
800,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
801,Ankara ofisi'a yeni telefon hattı çekilmesini istiyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Düşük
802,Mükremin Bey'in ekipman envanterine yeni bir dizüstü eklenmesini istiyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Düşük
803,Fatma Hanım isimli adayın CV değerlendirmesi yapılabilir mi?,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
804,Çağrı merkezi için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
805,"Klimadan su damlıyor, acil kontrol rica ederim.",İdari İşler,Bina/Tesis Bakım,Klima Arıza Bildirimi,Orta
806,Bu ayki maaşımda bir eksik ödeme fark ettim.,İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
807,"Telefonumda ses gelmiyor, arıza kaydı açmak istiyorum.",Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
808,Burak Bey hakkında 360 derece geri bildirim süreci başlatmak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
809,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
810,"MS Teams sürekli çöküyor, destek rica ediyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Kritik
811,"İzin tarihimi değiştirmek istiyorum, uygun müsaitlik var mı?",İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Düşük
812,Fatma Hanım için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
813,438 plakalı araçta motor arızası var.,İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Kritik
814,"Sistem geneli çok yavaş çalışıyor, yarından itibaren beri.",Bilgi Teknolojileri,Sunucu/Sistem,Sistem Performans Sorunu,Yüksek
815,ERP sistemi sistemine erişim yetkisi talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Düşük
816,"Muhasebe birimi'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
817,"İnsan Kaynakları katı'daki yazıcı çalışmıyor, kağıt sıkışması var.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Arıza Bildirimi,Yüksek
818,"Caner Bey'in kartı çalındı, iptal edilip yenisi verilmeli.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
819,Yeni işe başlayan personel için e-posta hesabı talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
820,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
821,Zeynep Hanım için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
822,"Tavan sızıntısı var, acil kontrol edilmesi gerekiyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Kritik
823,Zeynep Hanım'in ekipman envanterine yeni bir dizüstü eklenmesini istiyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
824,Merve Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
825,Glutensiz menü talebinde bulunmak istiyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
826,Tuvalet kağıdı ve kağıt havlu talep ediyorum.,İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
827,Emre Bey için yeni bir sistem hesabı açılmasını rica ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
828,Deniz Hanım için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Orta
829,Burak Bey için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
830,Kocaeli fabrikası'daki bilgisayarlara muhasebe programı kurulması gerekiyor.,Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Orta
831,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Orta
832,Deniz Hanım için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
833,Emre Bey'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
834,Mehmet Bey için unvan değişikliği talep ediyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
835,Departman değişikliği nedeniyle yeni yetki talep ediyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yetki/Sistem Erişim Talebi,Orta
836,"CRM uygulaması açılırken hata veriyor, dün beri sorun yaşıyorum.",Bilgi Teknolojileri,Yazılım,Yazılım Hata/Arıza Bildirimi,Orta
837,"İzmir şubesi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
838,"Emre Bey'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
839,Uzaktan çalışırken VPN sürekli kopuyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
840,"Elif Hanım'in görev tanımı güncellenecek, talep açıyorum.",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Düşük
841,Bu dönemki eğitim takvimi hakkında bilgi almak istiyorum.,İnsan Kaynakları,Eğitim,Eğitim Programı Bilgi Talebi,Düşük
842,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
843,Hakan Bey için vejetaryen menü talep ediyorum.,İdari İşler,Catering/Yemekhane,Diyet/Özel Menü Talebi,Düşük
844,Yeni personel için erişim kartı çıkarılması gerekiyor.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
845,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
846,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Orta
847,"Priz kıvılcım yapıyor, acil müdahale gerekiyor.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Kritik
848,Projemiz için 2 adet ek bilgisayar temin edilebilir mi?,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
849,"Araç periyodik bakım zamanı geldi, randevu talep ediyorum.",İdari İşler,Ulaşım/Araç,Araç Arıza/Bakım Bildirimi,Yüksek
850,"VPN istemcisi şifremi sıfırlamam gerekiyor, acil.",Bilgi Teknolojileri,Erişim ve Yetkilendirme,Şifre Sıfırlama Talebi,Orta
851,ERP sistemi güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Orta
852,"Başka bir departmana geçiş yapmak istiyorum, süreç nasıl işliyor?",İnsan Kaynakları,Kariyer/Özlük İşlemleri,Departman/Görev Değişikliği Talebi,Orta
853,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
854,"İzmir şubesi'da el dezenfektanı bitti, yenisi gerekiyor.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
855,Onaylanan iznimi iptal etmek istiyorum.,İnsan Kaynakları,İzin Yönetimi,İzin İptal/Değişiklik Talebi,Orta
856,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Düşük
857,"RAM yetersiz kalıyor, monitörüm için yükseltme talep ediyorum.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
858,Selin Hanım'in tamamladığı eğitim sertifikası iletilebilir mi?,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
859,Emre Bey için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Orta
860,Çağrı merkezi'daki toplantı için kahve ve su talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
861,Dosyalarımın yedeklenmesini talep ediyorum.,Bilgi Teknolojileri,Sunucu/Sistem,Yedekleme Talebi,Orta
862,İkametgah için işyerinden yazı almam gerekiyor.,İnsan Kaynakları,Bordro/Özlük,Özlük Belgesi Talebi,Orta
863,"Mükremin Bey olarak maaşımda hatalı kesinti olduğunu düşünüyorum, acil inceleme rica ederim.",İnsan Kaynakları,Bordro/Özlük,Maaş Hatası Bildirimi,Kritik
864,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
865,Fatma Hanım için çıkış işlemlerinin başlatılmasını istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,İstifa/Çıkış İşlemleri Talebi,Yüksek
866,Terfi sürecimin ne durumda olduğunu öğrenmek istiyorum.,İnsan Kaynakları,Kariyer/Özlük İşlemleri,Terfi/Unvan Değişikliği Talebi,Düşük
867,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
868,muhasebe programı güncel sürümüne geçmek istiyorum.,Bilgi Teknolojileri,Yazılım,Yazılım Güncelleme Talebi,Düşük
869,Dahili hattım geçen hafta beri kesik.,Bilgi Teknolojileri,Telefon/İletişim,Sabit Hat Arıza Bildirimi,Yüksek
870,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
871,Ana bina'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
872,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
873,Servis güzergahına yeni bir durak eklenmesini rica ediyorum.,İdari İşler,Ulaşım/Araç,Servis Güzergah Talebi,Orta
874,3 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Orta
875,Su baskını sonrası acil temizlik talep ediyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
876,5 günlük istirahat raporumu iletiyorum.,İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
877,yarından itibaren saat için toplantı ikramı talep ediyorum.,İdari İşler,Catering/Yemekhane,Toplantı İkramı Talebi,Düşük
878,Fatma Hanım için referans kontrolü yapılmasını rica ediyorum.,İnsan Kaynakları,İşe Alım,Referans Kontrolü Talebi,Düşük
879,"VPN'e bağlanamıyorum, bu ay içinde beri hata alıyorum.",Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
880,Toplantı öncesi Ankara ofisi'un özel olarak temizlenmesini istiyorum.,İdari İşler,Temizlik/Hizmet,Özel Temizlik Talebi,Yüksek
881,VPN şifremi girmeme rağmen bağlantı sağlanamıyor.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Orta
882,Yöneticimden yazılı geri bildirim talep ediyorum.,İnsan Kaynakları,Performans Yönetimi,Geri Bildirim Talebi,Düşük
883,Lojistik binası için kırtasiye malzemesi talep ediyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
884,Ofisimizde genel temizlik ihtiyacı var.,İdari İşler,Temizlik/Hizmet,Ofis Temizlik Talebi,Düşük
885,"Yazıcı kağıdı ve kalem stoku bitti, tedarik rica ederim.",İdari İşler,Ofis Malzemesi/Satınalma,Kırtasiye Malzeme Talebi,Düşük
886,Ekibimiz için yeni bir pozisyon açılmasını talep ediyorum.,İnsan Kaynakları,İşe Alım,Pozisyon Açma Talebi,Orta
887,Ayşe Hanım olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
888,Ali Bey için bina giriş kartı talep ediyorum.,İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Orta
889,Hakan Bey için yeni bir dahili hat talep ediyorum.,Bilgi Teknolojileri,Telefon/İletişim,Dahili Hat Talebi,Orta
890,"Sağlık raporum var, sisteme işlenmesini rica ediyorum.",İnsan Kaynakları,İzin Yönetimi,Rapor/Sağlık İzni Bildirimi,Yüksek
891,Hakan Bey için performans görüşmesi planlanmasını rica ediyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Orta
892,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
893,Performans değerlendirme dönemim hakkında bilgi almak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Performans Değerlendirme Talebi,Düşük
894,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
895,7 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
896,"RAM yetersiz kalıyor, masaüstü bilgisayarım için yükseltme talep ediyorum.",Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Orta
897,Yeni ekipman alımı için satınalma onayı bekliyorum.,İdari İşler,Ofis Malzemesi/Satınalma,Satınalma Onay Talebi,Yüksek
898,"Yeni bir Adobe Acrobat lisansına ihtiyacım var, talep açabilir misiniz?",Bilgi Teknolojileri,Yazılım,Yazılım Kurulum/Lisans Talebi,Düşük
899,Yurt dışı hattı açılması için talep oluşturuyorum.,Bilgi Teknolojileri,Telefon/İletişim,Mobil Cihaz Talebi,Orta
900,Katıldığım eğitimin sertifikasını talep ediyorum.,İnsan Kaynakları,Eğitim,Sertifika Talebi,Düşük
901,Hakan Bey için VPN erişim talebi açmak istiyorum.,Bilgi Teknolojileri,Ağ/Network,VPN Erişim Sorunu,Yüksek
902,"Fatma Hanım olarak masaüstü bilgisayarım bozuldu, talep açmak istiyorum.",Bilgi Teknolojileri,Donanım,Bilgisayar Arıza/Onarım Talebi,Orta
903,Deniz Hanım isimli adayın CV değerlendirmesi yapılabilir mi?,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
904,"Kocaeli fabrikası'da el dezenfektanı bitti, yenisi gerekiyor.",İdari İşler,Temizlik/Hizmet,Hijyen Malzeme Talebi,Düşük
905,Emre Bey adlı misafirim için giriş izni oluşturur musunuz?,İdari İşler,Güvenlik,Ziyaretçi Giriş Talebi,Düşük
906,Mehmet Bey'e bordro yazılımı için kullanıcı hesabı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Erişim ve Yetkilendirme,Yeni Kullanıcı Hesabı Açma,Orta
907,"Sunucu çok yavaş çalışıyor, tüm ekip etkilendi.",Bilgi Teknolojileri,Sunucu/Sistem,Sunucu Arıza Bildirimi,Kritik
908,"Yazıcı mürekkebi azaldı, tedarik edilmesini rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Toner/Kartuş Talebi,Orta
909,"Satış ofisi'da aydınlatma çalışmıyor, karanlıkta kaldık.",İdari İşler,Bina/Tesis Bakım,Elektrik/Aydınlatma Arıza Bildirimi,Yüksek
910,Elif Hanım'in bilgisayarının donanımının yenilenmesini rica ediyoruz.,Bilgi Teknolojileri,Donanım,Ekipman Değişim/Yükseltme Talebi,Düşük
911,3 günlük yıllık izin talebinde bulunmak istiyorum.,İnsan Kaynakları,İzin Yönetimi,Yıllık İzin Talebi,Düşük
912,Ayşe Hanım ile birlikte hedef belirleme toplantısı planlamak istiyorum.,İnsan Kaynakları,Performans Yönetimi,Hedef Belirleme Süreci Talebi,Düşük
913,"Ankara ofisi'a giriş yetkim yok, tanımlanmasını rica ederim.",İdari İşler,Güvenlik,Kart/Giriş Yetkisi Talebi,Düşük
914,"İK ofisi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
915,2. kat toplantı salonu'da Wi-Fi şifresini alabilir miyim?,Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Orta
916,"Giriş kartımı kaybettim, yenisinin çıkarılmasını rica ediyorum.",İdari İşler,Güvenlik,Kayıp Kart Bildirimi,Yüksek
917,Fatma Hanım'in ekipman envanterine yeni bir dizüstü eklenmesini istiyorum.,Bilgi Teknolojileri,Donanım,Yeni Ekipman Talebi,Orta
918,Başvuran adayların mülakat sürecini planlamak istiyorum.,İnsan Kaynakları,İşe Alım,Aday Değerlendirme Süreci Talebi,Düşük
919,Genel Müdürlük'da yeni alınan yazıcının kurulumu yapılabilir mi?,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Düşük
920,"Ağ yazıcısına bağlanamıyorum, kurulum desteği rica ediyorum.",Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
921,Deniz Hanım olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Orta
922,Bilgisayarıma yeni yazıcı tanımlanmasını istiyorum.,Bilgi Teknolojileri,Yazıcı/Ofis Ekipmanları,Yazıcı Kurulum Talebi,Orta
923,Mehmet Bey olarak maaş bordromun bir kopyasını rica ediyorum.,İnsan Kaynakları,Bordro/Özlük,Bordro/Maaş Bilgisi Talebi,Düşük
924,"Çağrı merkezi'daki lavabo tıkalı, su akmıyor.",İdari İşler,Bina/Tesis Bakım,Su Tesisatı Arıza Bildirimi,Yüksek
925,"İK ofisi'da Wi-Fi sinyali çok zayıf, kontrol edilebilir mi?",Bilgi Teknolojileri,Ağ/Network,Wi-Fi Bağlantı Talebi,Düşük
926,Burak Bey için mesleki gelişim eğitimi talep ediyorum.,İnsan Kaynakları,Eğitim,Eğitim Kaydı Talebi,Düşük
